legacy_ref,legacy_command,legacy_alias_or_content,legacy_path,legacy_directory,legacy_filename,item_type,legacy_section,new_path_target,migration_status,action_required
02,sql,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-SRV-SQL_PrePost_Validation_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-SRV-SQL_PrePost_Validation_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
03,srv,serveur,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_SERVER.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_SERVER.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
04,rds,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-SRV-RDS_Operations_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-SRV-RDS_Operations_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
05,ad-dc,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-AD-DC_Operations_V3.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-AD-DC_Operations_V3.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
06,ad-user,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-AD-UserManagement_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-AD-UserManagement_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
07,hyperv,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-SRV-HyperV_Operations_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-SRV-HyperV_Operations_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
08,vmware,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-SRV-VMware_Operations_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-SRV-VMware_Operations_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
09,xcpng,virtualiz,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-SRV-XCPng_Operations_V1.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-SRV-XCPng_Operations_V1.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
10,fw,firewall,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_FIREWALL.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_FIREWALL.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
10b,net-cfg,firewall,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-NET-NetworkSetup_V1.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-NET-NetworkSetup_V1.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
10c,net-diag,network,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-NET-NetworkDiagnostic_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-NET-NetworkDiagnostic_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
11,dns,,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_DNS_Domains_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_DNS_Domains_V1.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
12,linux,,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_LINUX_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_LINUX_V1.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
13,azure,entraid,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-AD-EntraID_Operations_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-AD-EntraID_Operations_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
14,m365,365,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_365.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_365.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
15,m365-exchange,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-M365-Exchange_Online_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-M365-Exchange_Online_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
16,m365-intune,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-M365-Intune_Devices_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-M365-Intune_Devices_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
17,m365-teams,"teams, sharepoint, onedrive",IT-SHARED/10_RUNBOOKS/INFRA/INFRA-M365-Teams_SharePoint_OneDrive_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-M365-Teams_SharePoint_OneDrive_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
18,m365-user,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-M365-UserManagement_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-M365-UserManagement_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
19,m365-onboard,,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-M365-UserOnboarding_V2.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-M365-UserOnboarding_V2.md,runbook,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
19b,aws,,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_CLOUD_AWS_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_CLOUD_AWS_V1.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
19c,gcp,,IT-SHARED/60_BUNDLES/BUNDLE_INFRA_CLOUD_GCP_GoogleWorkspace_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_INFRA_CLOUD_GCP_GoogleWorkspace_V1.md,bundle,🖥️ INFRA — Runbooks individuels (01–19c),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B20,b-patching,Patching Windows complet — tous scénarios,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_MAINTENANCE_Patching-Windows_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_MAINTENANCE_Patching-Windows_V1.md,bundle,🔄 MAINTENANCE — Bundles (B20–B21),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B21,b-health,Santé serveurs — health check + monitoring,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_MAINTENANCE_Server-Health_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_MAINTENANCE_Server-Health_V1.md,bundle,🔄 MAINTENANCE — Bundles (B20–B21),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
20,windows-patching,patching,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-WIN-Patching_Complet_V3.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-WIN-Patching_Complet_V3.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
21,patching-cwrmm,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-WIN-Patching_CW-RMM_V3.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-WIN-Patching_CW-RMM_V3.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
22,pending-reboot,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-WIN-PendingReboot_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-WIN-PendingReboot_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
23,server-health,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-SRV-HealthCheck_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-SRV-HealthCheck_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
24,wsus,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-WIN-WSUS_Maintenance_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-WIN-WSUS_Maintenance_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
25,audit-trim,,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-SRV-AuditTrimestriel_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-SRV-AuditTrimestriel_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
26,post-panne,post-elec,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-SRV-PostShutdown_Electrical_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-SRV-PostShutdown_Electrical_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
27,print,print-prepost,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-SRV-PrintServer_PrePost_V1.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-SRV-PrintServer_PrePost_V1.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
28,asset,inventaire-asset,IT-SHARED/10_RUNBOOKS/INFRA/INFRA-OPS-AssetLifecycle_V1.md,IT-SHARED/10_RUNBOOKS/INFRA,INFRA-OPS-AssetLifecycle_V1.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
28a,audit-license,asset-inventaire,IT-SHARED/10_RUNBOOKS/SECURITY/SEC-OPS-LicenseAudit_V2.md,IT-SHARED/10_RUNBOOKS/SECURITY,SEC-OPS-LicenseAudit_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
28b,audit-cmdb,asset-audit,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-OPS-CMDB_AssetAudit_V1.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-OPS-CMDB_AssetAudit_V1.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
28c,audit_trimestriel,asset-audit,IT-SHARED/10_RUNBOOKS/MAINTENANCE/MAINT-SRV-AuditTrimestriel_V2.md,IT-SHARED/10_RUNBOOKS/MAINTENANCE,MAINT-SRV-AuditTrimestriel_V2.md,runbook,🔄 MAINTENANCE — Runbooks individuels (20–27),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B30,b-noc,Mega-bundle NOC + Urgence,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_NOC_URGENCE.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_NOC_URGENCE.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B31,b-backup-dr,"Backup + DR — Veeam, Datto, Keepit, DR plan",IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_BACKUP_DR.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_BACKUP_DR.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B32,b-veeam,Veeam opérations détaillées,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_BACKUP_Veeam-Operations_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_BACKUP_Veeam-Operations_V1.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B33,b-datto-keepit,Datto BCDR + Keepit M365 + DR plan,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_BACKUP_Datto-Keepit-DR_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_BACKUP_Datto-Keepit-DR_V1.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B34,b-rmm,RMM monitoring — N-able + CW RMM + Auvik,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_NOC_RMM-Monitoring_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_NOC_RMM-Monitoring_V1.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B35,b-noc-int,NOC intervention live — procédures et escalade,IT-SHARED/60_BUNDLES/BUNDLE_NOC_Intervention_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_NOC_Intervention_V1.md,bundle,💾 NOC / BACKUP — Bundles (B30–B34),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
30,incident-command,,IT-SHARED/10_RUNBOOKS/NOC/NOC-OPS-IncidentCommand_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-OPS-IncidentCommand_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
31,frontdoor,,IT-SHARED/10_RUNBOOKS/NOC/NOC-OPS-FrontDoor_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-OPS-FrontDoor_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
32,veeam,,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_BACKUP_Veeam-Operations_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_BACKUP_Veeam-Operations_V1.md,bundle,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
32c,veeam-opr,,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-Veeam_Operations_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-Veeam_Operations_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
32b,bckup-cfg,,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-Backup_Configuration_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-Backup_Configuration_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
33,datto,,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-Datto_Operations_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-Datto_Operations_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
34,keepit,,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-Keepit_Operations_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-Keepit_Operations_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
35,dr-plan,,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-DR_Plan_Validation_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-DR_Plan_Validation_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
36,backup-dr,backup,IT-SHARED/10_RUNBOOKS/NOC/NOC-BACKUP-DR_Test_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-BACKUP-DR_Test_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
37,nable,,IT-SHARED/10_RUNBOOKS/NOC/NOC-RMM-NAble_Operations_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-RMM-NAble_Operations_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
38,cwrmm-auvik,,IT-SHARED/10_RUNBOOKS/NOC/NOC-RMM-CWRMM_Auvik_Operations_V2.md,IT-SHARED/10_RUNBOOKS/NOC,NOC-RMM-CWRMM_Auvik_Operations_V2.md,runbook,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
39,bckup,,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_BACKUP_Datto-Keepit-DR_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_BACKUP_Datto-Keepit-DR_V1.md,bundle,💾 NOC / BACKUP — Runbooks individuels (30–39),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B40,b-secu,Mega-bundle sécurité MSP complet,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOKS_IT_SECURITE.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOKS_IT_SECURITE.md,bundle,🛡️ SÉCURITÉ — Bundles (B40–B42),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B41,b-ir,Incident Response détaillé — IR + postmortem,IT-SHARED/60_BUNDLES/BUNDLE_RUNBOOK_SECURITY_Incident-Response_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_RUNBOOK_SECURITY_Incident-Response_V1.md,bundle,🛡️ SÉCURITÉ — Bundles (B40–B42),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
B42,b-soc-siem,"SOC/SIEM — ransomware, threat hunting, SIEM",IT-SHARED/60_BUNDLES/BUNDLE_SECURITY_Securite_V1.md,IT-SHARED/60_BUNDLES,BUNDLE_SECURITY_Securite_V1.md,bundle,🛡️ SÉCURITÉ — Bundles (B40–B42),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
40,securite-ir,,IT-SHARED/10_RUNBOOKS/SECURITY/SEC-SECU-IncidentResponse_V3.md,IT-SHARED/10_RUNBOOKS/SECURITY,SEC-SECU-IncidentResponse_V3.md,runbook,🛡️ SÉCURITÉ — Runbooks individuels (40–44),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
41,alert-response,,IT-SHARED/10_RUNBOOKS/SECURITY/SEC-SECU-AlertResponse_V2.md,IT-SHARED/10_RUNBOOKS/SECURITY,SEC-SECU-AlertResponse_V2.md,runbook,🛡️ SÉCURITÉ — Runbooks individuels (40–44),[À DÉFINIR - ne pas déplacer sans migration],LEGACY_ACTIVE,Garder la référence; modifier seulement après validation du nouveau chemin
